old_date,latency,latencycount,date,
2010-01-01T00:00:00,00,4.1,2010-01-01T00:00:01
2010-01-01T01:00:00,01,4.0,2010-01-01T00:00:02
2010-01-01T02:00:00,02,3.9,2010-01-01T00:00:03
2010-01-01T03:00:00,03,3.8,2010-01-01T00:00:04
2010-01-01T04:00:00,04,3.8,2010-01-01T00:00:05
2010-01-01T05:00:00,05,3.7,2010-01-01T00:00:06
2010-01-01T06:00:00,06,3.7,2010-01-01T00:00:07
2010-01-01T07:00:00,07,3.7,2010-01-01T00:00:08
2010-01-01T08:00:00,08,3.7,2010-01-01T00:00:09
2010-01-01T09:00:00,09,4.0,2010-01-01T00:00:10
2010-01-01T10:00:00,10,4.5,2010-01-01T00:00:11
2010-01-01T11:00:00,11,5.2,2010-01-01T00:00:12
2010-01-01T12:00:00,12,5.8,2010-01-01T00:00:13
2010-01-01T13:00:00,13,6.2,2010-01-01T00:00:14
2010-01-01T14:00:00,14,6.4,2010-01-01T00:00:15
2010-01-01T15:00:00,15,6.3,2010-01-01T00:00:16
2010-01-01T16:00:00,16,5.9,2010-01-01T00:00:17
2010-01-01T17:00:00,17,5.4,2010-01-01T00:00:18
2010-01-01T18:00:00,18,5.1,2010-01-01T00:00:19
2010-01-01T19:00:00,19,4.9,2010-01-01T00:00:20
2010-01-01T20:00:00,20,4.8,2010-01-01T00:00:21
2010-01-01T21:00:00,21,4.7,2010-01-01T00:00:22
2010-01-01T22:00:00,22,4.6,2010-01-01T00:00:23
2010-01-01T23:00:00,23,4.4,2010-01-01T00:00:24
2010-01-02T00:00:00,00,4.1,2010-01-01T00:00:25
2010-01-02T01:00:00,01,4.1,2010-01-01T00:00:26
2010-01-02T02:00:00,02,4.1,2010-01-01T00:00:27
2010-01-02T03:00:00,03,3.9,2010-01-01T00:00:28
2010-01-02T04:00:00,04,3.9,2010-01-01T00:00:29
2010-01-02T05:00:00,05,3.8,2010-01-01T00:00:30
2010-01-02T06:00:00,06,3.9,2010-01-01T00:00:31
2010-01-02T07:00:00,07,3.8,2010-01-01T00:00:32
2010-01-02T08:00:00,08,3.8,2010-01-01T00:00:33
2010-01-02T09:00:00,09,4.2,2010-01-01T00:00:34
2010-01-02T10:00:00,10,4.7,2010-01-01T00:00:35
2010-01-02T11:00:00,11,5.3,2010-01-01T00:00:36
2010-01-02T12:00:00,12,5.9,2010-01-01T00:00:37
2010-01-02T13:00:00,13,6.3,2010-01-01T00:00:38
2010-01-02T14:00:00,14,6.5,2010-01-01T00:00:39
2010-01-02T15:00:00,15,6.4,2010-01-01T00:00:40
2010-01-02T16:00:00,16,6.1,2010-01-01T00:00:41
2010-01-02T17:00:00,17,5.5,2010-01-01T00:00:42
2010-01-02T18:00:00,18,5.2,2010-01-01T00:00:43
2010-01-02T19:00:00,19,5.1,2010-01-01T00:00:44
2010-01-02T20:00:00,20,4.9,2010-01-01T00:00:45
2010-01-02T21:00:00,21,4.8,2010-01-01T00:00:46
2010-01-02T22:00:00,22,4.7,2010-01-01T00:00:47
2010-01-02T23:00:00,23,4.5,2010-01-01T00:00:48
2010-01-03T00:00:00,00,4.3,2010-01-01T00:00:49
2010-01-03T01:00:00,01,4.2,2010-01-01T00:00:50
2010-01-03T02:00:00,02,4.2,2010-01-01T00:00:51
